modes,Relative Error,Inference Time (s)
4,0.19589488208293915,0.0007666945457458496
8,0.19596752524375916,0.0009135603904724121
12,0.1934814155101776,0.0009742379188537598
16,0.18551605939865112,0.001372694969177246
20,0.1490122526884079,0.0020874738693237305
24,0.12797412276268005,0.002072274684906006
28,0.11315181851387024,0.002153456211090088
32,0.0375673770904541,0.0033234357833862305
